Country Name,percentage of services,GDP
Tanzania,37.92261984,58001200572
Uganda,47.1128537,27461440192
Ukraine,50.88317836,1.30832E+11
Upper middle income,55.38194059,2.44461E+13
Uruguay,60.98076827,59596885024
United States,77.37453175,2.05443E+13
Uzbekistan,33.70233665,50499921558
St. Vincent and the Grenadines,62.29007705,811300000
"Venezuela, RB",,
British Virgin Islands,,
Virgin Islands (U.S.),,
Vietnam,41.26045376,2.45214E+11
Vanuatu,,914301119.3
World,65.02920731,8.59106E+13
Samoa,72.62694261,820491798.3
Kosovo,45.79987,7938990793
"Yemen, Rep.",19.11276846,26914402224
South Africa,61.02558912,3.68289E+11
Zambia,52.09383696,26720073436
Zimbabwe,55.08339795,31000519447
